,mobilename,star,ratings,reviews,new_price,old_price,discount,camera
0,"Huawei P9 (Mystic Silver, 32 GB)",4.5,829 Ratings , 265 Reviews,"₹39,999","₹39,999",2% off,12MP + 12MP | 8MP Front Camera
1,"Huawei P9 (Prestige Gold, 32 GB)",4.5,829 Ratings , 265 Reviews,"₹39,999","₹39,999",2% off,12MP + 12MP | 8MP Front Camera
2,"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)",4.5,"3,234 Ratings ", 364 Reviews,"₹49,999","₹49,999",50% off,50MP + 12MP + 10MP | 10MP Front Camera
3,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)",4.3,"4,262 Ratings ", 285 Reviews,"₹44,999","₹44,999",53% off,12MP + 12MP | 10MP Front Camera
4,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)",4.2,559 Ratings , 96 Reviews,"₹49,999","₹49,999",33% off,200MP + 50MP + 12MP | 60MP Front Camera
5,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)",4.2,559 Ratings , 96 Reviews,"₹49,999","₹49,999",33% off,200MP + 50MP + 12MP | 60MP Front Camera
6,"SAMSUNG Galaxy A54 5G (Awesome Violet, 256 GB)",4.3,415 Ratings , 39 Reviews,"₹40,999","₹40,999",10% off,50MP + 12MP + 5MP | 32MP Front Camera
7,"OnePlus 8 (Glacial Green, 256 GB)",4.5,246 Ratings , 35 Reviews,"₹46,999","₹46,999",2% off,48MP + 2MP + 16MP
8,"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)",4.5,"3,234 Ratings ", 364 Reviews,"₹49,999","₹49,999",50% off,50MP + 12MP + 10MP | 10MP Front Camera
9,"OnePlus 8 (Interstellar Glow, 256 GB)",4.5,246 Ratings , 35 Reviews,"₹47,349","₹47,349",1% off,48MP + 2MP + 16MP
10,"Mi 10T Pro (Cosmic Black, 128 GB)",4.2,"3,688 Ratings ", 552 Reviews,"₹38,849","₹38,849",19% off,108MP + 13MP + 5MP | 20MP Front Camera
11,"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)",4.3,"4,262 Ratings ", 285 Reviews,"₹44,999","₹44,999",53% off,12MP + 12MP | 10MP Front Camera
12,"vivo X70 Pro (Cosmic Black, 256 GB)",4.4,970 Ratings , 142 Reviews,"₹49,999","₹49,999",13% off,50MP + 12MP + 12MP + 8MP | 32MP Front Camera
13,"vivo X70 Pro (Aurora Dawn, 256 GB)",4.4,970 Ratings , 142 Reviews,"₹47,999","₹47,999",17% off,50MP + 12MP + 12MP + 8MP | 32MP Front Camera
14,"OnePlus 9RT 5G (Hacker Black, 256 GB)",4.1,274 Ratings , 26 Reviews,"₹48,999","₹48,999",not found,50MP Rear Camera
15,"OnePlus 9RT 5G (Nano Silver, 256 GB)",4.1,274 Ratings , 26 Reviews,"₹46,999","₹46,999",not found,50MP Rear Camera
16,"OnePlus 9 5G (Winter Mist, 256 GB)",4,286 Ratings , 30 Reviews,"₹49,999","₹49,999",not found,48MP Rear Camera
17,"APPLE iPhone 11 (Red, 128 GB)",4.6,"1,95,660 Ratings "," 11,232 Reviews","₹46,999","₹46,999",3% off,12MP + 12MP | 12MP Front Camera
18,"OnePlus 9 5G (Astral Black, 128 GB)",3.9,369 Ratings , 37 Reviews,"₹49,999","₹49,999",not found,48MP Rear Camera
19,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)",4.2,246 Ratings , 35 Reviews,"₹43,990","₹43,990",45% off,50MP + 50MP + 50MP | 32MP Front Camera
20,"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)",4.2,246 Ratings , 35 Reviews,"₹43,900","₹43,900",45% off,50MP + 50MP + 50MP | 32MP Front Camera
21,"realme GT 2 Pro (Steel Black, 128 GB)",4.2,"2,866 Ratings ", 436 Reviews,"₹49,999","₹49,999",13% off,50MP + 50MP + 2MP | 32MP Front Camera
22,"vivo X70 Pro (Aurora Dawn, 256 GB)",4.5,"3,791 Ratings ", 691 Reviews,"₹48,999","₹48,999",10% off,50MP + 12MP + 12MP + 8MP | 32MP Front Camera
23,"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)",4.1,218 Ratings , 28 Reviews,"₹48,880","₹48,880",42% off,50MP + 50MP + 50MP | 32MP Front Camera
